plot	site	time	total_precipitation_hourly	u_component_of_wind_10m	v_component_of_wind_10m	ws
plot1	Nouragues	2001-01-01 00:00:00	8.821488108878839e-07	-1.423431396484375	-1.62176513671875	2.157841305372998
plot1	Nouragues	2001-01-01 01:00:00	4.284083843231201e-07	-1.29644775390625	-1.358795166015625	1.8780577951160051
plot1	Nouragues	2001-01-01 02:00:00	4.567205905914307e-06	-1.046295166015625	-1.133697509765625	1.542726034679017
plot1	Nouragues	2001-01-01 03:00:00	2.0235776901245117e-05	-0.8177757263183594	-1.02215576171875	1.3090299995685195
plot1	Nouragues	2001-01-01 04:00:00	2.6989728212356567e-05	-0.6905765533447266	-1.1371002197265625	1.330373212948787
plot1	Nouragues	2001-01-01 05:00:00	1.5333294868469238e-05	-0.499298095703125	-1.185943603515625	1.286763699788113
plot1	Nouragues	2001-01-01 06:00:00	2.8833746910095215e-06	-0.31950950622558594	-1.178938865661621	1.2214676309816923
plot1	Nouragues	2001-01-01 07:00:00	8.079409496986045e-06	-0.24393081665039062	-1.2791595458984375	1.302210193161927
plot1	Nouragues	2001-01-01 08:00:00	6.657391787712186e-05	-0.3783302307128906	-1.3952178955078125	1.4456025523692597
plot1	Nouragues	2001-01-01 09:00:00	8.080899715423584e-05	-0.5932159423828125	-1.467010498046875	1.5824111209407208
plot1	Nouragues	2001-01-01 10:00:00	5.206465721130371e-05	-0.6143035888671875	-1.51025390625	1.6304096910404116
plot1	Nouragues	2001-01-01 11:00:00	1.772791154053266e-05	-0.5880126953125	-1.410064697265625	1.5277569768531478
plot1	Nouragues	2001-01-01 12:00:00	4.208897178159532e-05	-1.61480712890625	-2.575897216796875	3.040205344227316
plot1	Nouragues	2001-01-01 13:00:00	1.1401726567328296e-05	-1.717193603515625	-2.342802047729492	2.9047332591479855
plot1	Nouragues	2001-01-01 14:00:00	9.844750161391858e-05	-1.9984588623046875	-2.344231605529785	3.0804641930541736
plot1	Nouragues	2001-01-01 15:00:00	0.00019477715517268734	-1.9969482421875	-2.296792984008789	3.0435276068023014
plot1	Nouragues	2001-01-01 16:00:00	0.00026821682422450976	-1.7939300537109375	-2.3860130310058594	2.985170551532541
plot1	Nouragues	2001-01-01 17:00:00	0.0004566192627066812	-1.6167449951171875	-2.6696243286132812	3.121018813650502
plot1	Nouragues	2001-01-01 18:00:00	0.00041899383069221585	-1.5653076171875	-2.771007537841797	3.1825572596893315
plot1	Nouragues	2001-01-01 19:00:00	9.247660636901855e-05	-1.0823822021484375	-2.706857681274414	2.91524093999141
plot1	Nouragues	2001-01-01 20:00:00	2.8818845748901367e-05	-0.98406982421875	-2.3812484741210938	2.5765748028035125
plot1	Nouragues	2001-01-01 21:00:00	3.3795833587646484e-05	-0.9433441162109375	-1.81884765625	2.0489277484176727
plot1	Nouragues	2001-01-01 22:00:00	7.748603820800781e-07	-1.0341796875	-1.7332000732421875	2.0182938636195478
plot1	Nouragues	2001-01-01 23:00:00	2.086162567138672e-07	-1.067291259765625	-1.745269775390625	2.0457461284490157
plot1	Nouragues	2001-01-02 00:00:00	1.430511474609375e-06	-0.9247589111328125	-1.612091064453125	1.858498491742502
plot1	Nouragues	2001-01-02 01:00:00	5.066394805908203e-07	-0.834197998046875	-1.419097900390625	1.6461242817109814
plot1	Nouragues	2001-01-02 02:00:00	0.0	-0.5820159912109375	-1.2201766967773438	1.3518778736941144
plot1	Nouragues	2001-01-02 03:00:00	5.513429641723633e-07	-0.325653076171875	-1.1363210678100586	1.182064082513802
plot1	Nouragues	2001-01-02 04:00:00	0.0	-0.076446533203125	-1.2804527282714844	1.2827327320126607
plot1	Nouragues	2001-01-02 05:00:00	1.564621925354004e-07	0.041229248046875	-1.252340316772461	1.2530188026954179
plot1	Nouragues	2001-01-02 06:00:00	1.4901161193847656e-07	0.1360015869140625	-1.177525520324707	1.1853534420834637
plot1	Nouragues	2001-01-02 07:00:00	-7.450580596923828e-09	0.08685302734375	-1.2397193908691406	1.2427580683526973
plot1	Nouragues	2001-01-02 08:00:00	0.0	0.1929779052734375	-1.237208366394043	1.2521681252128807
plot1	Nouragues	2001-01-02 09:00:00	0.0	0.221893310546875	-1.2558746337890625	1.2753265217426726
plot1	Nouragues	2001-01-02 10:00:00	0.0	0.1617889404296875	-1.1616649627685547	1.1728772940804288
plot1	Nouragues	2001-01-02 11:00:00	0.0	-0.130218505859375	-0.7740650177001953	0.7849417245219238
