"","scenario_base","climate","variable","mean","median","q01","q05","q10","q25","q75","q90","q95","q99","min","max"
"1","inf_deepWT_clayey","redprec","SWC_0",0.3256284616,0.3114885,0.26962487,0.27229595,0.2745987,0.285428,0.3540115,0.3982544,0.42100095,0.464119,0.265968,0.497674
"2","inf_deepWT_clayey","redprec","SWP_0",-1234.69340055923,-1058.815,-4231.05,-3456.001,-2821.181,-1774.1425,-355.00525,-2.972263,-1.75133,-0.53804048,-4936.28,-0.01262
"3","inf_deepWT_clayey","regclim","SWC_0",0.3167060336,0.2982845,0.26904397,0.27136995,0.2731256,0.2784475,0.3401575,0.389144,0.430849,0.46564608,0.265115,0.498443
"4","inf_deepWT_clayey","regclim","SWP_0",-1089.11512476349,-709.433,-4231.5001,-3525.9005,-2821.231,-1763.53,-15.62255,-2.15526,-1.2363185,-0.28287561,-4936.76,-0.0125486
"5","inf_deepWT_sandy","redprec","SWC_0",0.1486850742,0.146085,0.14345591,0.144677,0.1449809,0.145473,0.14704,0.1486341,0.1500601,0.17727682,0.136053,0.525602
"6","inf_deepWT_sandy","redprec","SWP_0",-55.4962442258145,-7.5446,-14.880151,-10.517095,-9.747927,-8.663205,-6.18033,-4.590698,-3.6323685,-0.339153209999999,-9449.14,-2.48868e-07
"7","inf_deepWT_sandy","regclim","SWC_0",0.1514729216,0.1477895,0.14469188,0.14540595,0.1457899,0.14661675,0.1503495,0.1551862,0.16022405,0.18811971,0.136053,0.525602
"8","inf_deepWT_sandy","regclim","SWP_0",-53.2649192647175,-5.34738,-10.54858,-8.803537,-8.059122,-6.7337525,-3.46772,-1.834491,-1.0993625,-0.202731229999999,-9449.14,-2.48868e-07
"9","inf_shallowWT_clayey","redprec","SWC_0",0.2868738184,0.2793855,0.27226795,0.27311595,0.273567,0.27494875,0.2899235,0.3030233,0.3244478,0.412079650000001,0.269818,0.466294
"10","inf_shallowWT_clayey","redprec","SWP_0",-141.35677221062,-1.76654,-2830.7598,-1058.13,-353.8844,-2.6622825,-0.90141475,-0.443488,-0.31134805,-0.1788629,-4231.12,-0.0113751
"11","inf_shallowWT_clayey","regclim","SWC_0",0.2948352235,0.2877115,0.27248597,0.27341275,0.274292,0.276428,0.3077955,0.3234027,0.33355785,0.3724921,0.270373,0.444838
"12","inf_shallowWT_clayey","regclim","SWP_0",-94.1063480454301,-0.652672,-2116.1901,-355.731,-3.102038,-1.8526325,-0.128195,-0.05930931,-0.046110265,-0.032489545,-3526.73,-0.0113994
"13","inf_shallowWT_sandy","redprec","SWC_0",0.2239214857,0.2294145,0.14865292,0.15656395,0.1979874,0.22342975,0.2338835,0.2364892,0.237725,0.23978022,0.136053,0.525602
"14","inf_shallowWT_sandy","redprec","SWP_0",-53.1302646488582,-0.05594925,-4.5717897,-1.5735615,-0.1384424,-0.064901175,-0.0503995,-0.04751428,-0.046225635,-0.044205229,-9449.14,-2.48868e-07
"15","inf_shallowWT_sandy","regclim","SWC_0",0.2293141603,0.2339275,0.148957,0.16900165,0.2083148,0.22744425,0.23893525,0.2422233,0.24366705,0.24637401,0.136053,0.525602
"16","inf_shallowWT_sandy","regclim","SWP_0",-53.0698212624777,-0.0503411,-4.3388145,-0.5546605,-0.09887447,-0.058664275,-0.045026025,-0.04196989,-0.040725495,-0.038522746,-9449.14,-2.48868e-07
