s_name	s_leafarea	s_LMA	s_Nmass	s_Pmass	s_wsg	s_ah	s_hmax	s_dbhmax	s_tlp	s_seedmass	s_regionalfreq
Tapirira_guianensis	65.2390956465218	84.00877522734586	0.01747977479	8.66584e-4	0.539439	0.289809052422252	46.62819446316948	0.5946400000000001	-1.8894	1	0.0087719298245614
Tapirira_obtusa	64.5475096727759	82.52186829509819	0.0193492	7.33124e-4	0.455094	0.29466975588670086	44.157018548425995	0.46851	-1.93375	1	0.0087719298245614
Thyrsodium_guianense	36.3957105544656	116.57308671439168	0.01490382254	5.538380031e-4	0.637421648	0.328	47.47	0.28849	-2.1495	1	0.0087719298245614
Duguetia_calycina	68.87515544047615	76.31639638868288	0.020691111365	8.353308265e-4	0.533201115	0.3053	48.95	0.19394	-1.842	1	0.0087719298245614
Duguetia_surinamensis	42.23286646944445	79.19764934981615	0.02901127459	8.585109515e-4	0.7827837685000001	0.28429162601132063	48.811754821360616	0.2815	-2.16	1	0.0087719298245614
Oxandra_asbeckii	19.90284511933645	90.2657545119646	0.0201968918	6.426164373999999e-4	0.56866399	0.307	50.55	0.22388	-2.16816666666667	1	0.0087719298245614
Unonopsis_rufescens	54.39725154810445	67.75917518073572	0.02236154525	0.0011113096615	0.4889902455	0.3055	49.41	0.191	-1.852117777944445	1	0.0087719298245614
Xylopia_nitida	28.78987113648965	90.40773890245003	0.022922	8.219999999999999e-4	0.55	0.29887594051439	50.679759352073205	0.412185	-1.6454	1	0.0087719298245614
Ambelania_acida	84.1621707557162	109.62221293564858	0.014891253065	7.230411824999999e-4	0.4417651945	0.3106509490478784	44.150680158337906	0.17693	-1.54066666666667	1	0.0087719298245614
Jacaranda_copaia	29.00831667	68.10791469749401	0.02651	7.830721563e-4	0.371199	0.2687527074942072	44.53455023497903	0.457005	-1.40892307692308	1	0.0087719298245614
Cordia_sagotii	147.505936944881	109.32251725577756	0.024200452715	7.8281114775e-4	0.518628842	0.3343	47.04	0.264	-1.65273	1	0.0087719298245614
Dacryodes_cuspidata	49.75809273160565	103.67867673860378	0.017109526405	7.1939726845e-4	0.7476000190000001	0.286	51.14	0.34387	-1.7197666665	1	0.0087719298245614
Protium_gallicum	16.8335754080259	73.5269	0.01872867892	6.598536239e-4	0.633133333333333	0.3412	46.63	0.36456	-2.49	1	0.0087719298245614
Protium_guianense	36.31794575	71.13138993122251	0.019151208075	8.09277151e-4	0.531013238	0.279	51.73	0.53625	-2.1838	1	0.0087719298245614
Protium_opacum	77.93800409450421	85.85395701349888	0.01657531438499999	7.410736425000001e-4	0.597574641	0.3071	50	0.51526	-1.996237254735295	1	0.0087719298245614
Protium_sagotianum	87.36382690555556	87.68180646879452	0.018063802255	7.4391296735e-4	0.6838988564999999	0.2961	50.77	0.43475	-2.29052833325	1	0.0087719298245614
Protium_subserratum	50.07274060166665	73.29361504813912	0.01658391885999999	6.352012405e-4	0.6270014385	0.3528	45.31	0.30798	-1.9713	1	0.0087719298245614
Protium_trifoliolatum	21.96114772	68.8524	0.01967602251	6.5462351975e-4	0.636525	0.2734	52.18	0.30816	-2.31199333325	1	0.0087719298245614
Caryocar_glabrum	65.67775423	75.4995020800666	0.02237539997	6.065911453e-4	0.627318	0.2951741326127354	49.490213705261326	1.0312	-1.83925	1	0.0087719298245614
